"id","confidence","correct","domain","model","seed","signal"
"generative-42-fin-test-1","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-2","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-3","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-4","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-5","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-6","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-7","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-8","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-9","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-10","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-11","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-12","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-13","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-14","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-15","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-16","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-17","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-18","0.6","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-19","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-20","1.0","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-21","0.6","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-22","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-23","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-24","0.2","0","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-25","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-26","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-27","1.0","1","fin_test","generative","42","conf_min_sc"
"generative-42-fin-test-28","0.0","1","fin_test","generative","42","conf_min_sc"
